Role Title,jd_vecs,Job Description
Developer,"[ 0.7165639  -1.0651648  -0.4284053   0.24856138  0.33657235  1.065735
  0.43226942  0.1463906  -0.08949676  1.4468063  -0.8136133   0.14858438
  0.52106315  0.4773104   0.5490071  -0.274111    0.47369033 -0.24192622
 -1.1153392   0.03246281  0.36315536  0.3097806  -0.98964906  0.17036827
 -0.06135716  0.01142449 -0.81744605  0.32506126 -0.12129536  0.4225622
  0.69235486  0.4289266   0.7498031  -0.3307992  -1.4046303   0.30836457
 -0.35109633 -0.10566106  1.1122776   0.15028016 -0.36645493  0.5164016
 -0.1792949  -0.61448216  1.0840638  -0.22006844 -0.93296534 -0.21228984
 -0.23084009  0.03512256]","  Artificial Intelligence / Machine Learning Developer     Irving TX  Terms  Contract   Details             Bachelor's degree or 7-10 or more years of relevant  experience.     7+ years of server app development (design/develop/deploy).     3+ years of Python 3.x, experience in ML algorithms/data analytics.     5+ years of advanced SQL development (ER modeling, SQL scripts, stored procedures, functions, s) with RDBMS such as PostgreSQL/MS SQL Server.     3+ years on AWS S3, EC2, Serverless computing (Lambda).     3+ years of experience/familiarity with DevOps using Stash/Jenkins/Chef and Puppet.     Excellent communication  in interfacing with different cross-functional teams.         5+ years of experience in designing, building applications using .NET platform using C#, .NET Core, ORM, SQL, MS SQL Server, Visual Studio.     1+ years' experience in developing containerized Docker .net core apps."
Data Scientist,"[ 0.45794606 -0.43338215 -0.04595498 -0.34256482  0.39692375 -0.20139626
  0.73210526  0.32055068 -0.60648066  0.3607207  -0.11533947 -0.381704
  0.60301167  0.32168108  0.08470742 -1.1891638   0.48044622 -0.5643088
 -0.17491384 -0.2503054  -0.02893584  0.50635296  0.09862458  0.2264063
 -0.01979882  0.48679706 -0.48652768 -0.15281317 -0.4880462   0.37527663
  0.8764715  -0.5380877  -0.79402757  0.19488807 -0.12445839 -0.37207568
 -0.80415225  0.02521255  0.33869043  0.67187864 -0.10913081 -0.3119586
 -0.62021035 -0.8462042   0.18020989  0.17691414 -0.58540297 -0.44407263
  0.623427    0.42202672]","   Data Scientist/Architect   6+ months + High possibility of extension   New York, NY 10036   $101/hr W2          Develops cutting-edge algorithms and solutions for an industry disrupting product in the insurance industry     Plays a critical  in guiding the data science team on effectively developing models     Stays up-to- on current trends and state-of-the-art in the field of deep learning and computer vision and educates junior data scientist     Leverages research and applies state-of-the-art deep learning techniques to inform recommendations and decisions     s closely across different functions of the product team (engineering function, architecture function, business function, sales functions, etc.) to identify and incubate business cases           Ph.D. in Computer Science, Statistics, Mathematics, or other related field     Strong experience developing computer vision algorithms/models (image registration, thresholding, camera calibration, keypoint extraction, etc.) with state of the art deep learning frames     Mastery of a wide variety of programming languages (Python, C++, etc.) and frames (TensorFlow, Keras, Caffe, Torch, etc.), demonstrating strong  in the development, articulation and implementation of coding practices for the team     Demonstd experience ing with large, complex datasets using big data  and script language     Experience on cloud platform such as AWS, AZURE, etc.     Familiarity with version control systems     Ability to turn research into industrial production     Experience on 3D modeling from 2D images is a plus"
Data Analyst,"[-0.7223511  -0.00382064 -0.1155393   1.0057449   1.5226383   0.2690749
  0.6782465   0.5110057  -1.5219289   0.12585519 -0.7015347  -0.44243544
 -1.0165862  -0.46395162 -0.2562445   0.01876229  0.500717    0.04054014
 -0.13553798 -0.14272511 -0.28412357  0.37884563  0.33053452 -0.53387564
  0.08707696  0.28253946 -0.50669193  0.27734628  0.46291038 -0.17160934
  0.7334951   0.06274129  0.04151288 -0.06844172 -0.0141271  -0.34870368
  0.31126824 -0.17918211  0.02237041  0.4899267   0.82467353 -0.89469683
 -0.8025365  -1.6196669  -0.74331737  0.4149464  -0.05169319 -1.0456333
  0.00581568 -0.1640418 ]","   Data Analyst   Davidson, NC   04+ Months        and Experience       You are an expert in one or more business processes and  practices and are accountable for translating a business case into a detailed technical design.     Alternatively, you are responsible for operational and technical issues and translate technical blueprints into  and specifications.     You may also be responsible for integration testing and user acceptance testing.     You act as a stream lead, guiding team members by experience.     You are seen as active member within  communities.    Qualification  6-8 years of experience (2 years minimum relevant experience) Bachelor?s Degree. Certification  SE level 1 and  level 2. Must have experience in Package Configuration. Should be proficient in Business Analysis, Business Knowledge, Testing, Architecture Knowledge, Technical Solution Design and Vendor Management.          The Data Scientist will  on a small team to  Reinforced Learning approach to Control Systems used in Compressed Air systems.     Client is planning to use a toolkit called Reinforced Learning Toolkit from Maths which was recently launched, along with Matlab and Simulink toolkits.     The Data Scientist will build data models, analyze data and  alongside system experts and project manager to deliver a proof of concept which uses AI to solve control problems and make improvements.           Data Science background in Machine Learning, Artificial Intelligence (AI), and/or Neural Nets     Maths Matlab and Simulink experience     Maths Reinforced Learning Toolkit highly  (this is a new toolkit)     Reinforced Learning expertise highly      Able to build Data Models     Control System domain experience  "
Data Scientist,"[ 0.38293263 -1.4351465   0.09415209 -1.0240865   0.31857792 -0.31148848
  0.319861    0.73899144  0.7634445   0.7855368  -0.16933665 -0.53692824
  0.7810492  -0.0405103   0.8436889  -1.4533207   0.09491891  0.47258243
 -0.206053   -0.09892863 -0.22443199  0.01562601  0.36232796 -0.97950476
  1.0531923   0.65871024 -0.11966465  0.27198684 -0.42345387 -0.28310797
  1.342064   -0.39370248  0.27056372 -0.13342695  0.4012591  -0.5708234
 -0.87557995  0.7651066  -0.38618803 -0.41468996 -0.02397667 -0.39334586
 -0.3183979   0.32184598  0.05212526  0.5149421   0.39562902 -1.454744
  0.6145284   0.34605524]","   Big Data Architect or Data Scientist   New York, NY    6 Months Contract      ? Develops cutting-edge algorithms and solutions for an industry-disrupting product in the insurance industry ? Plays a critical  in guiding the data science team on effectively developing models ? Stays up-to- on current trends and state-of-the-art in the field of deep learning and computer vision and educates junior data scientist ? Leverages research and applies state-of-the-art deep learning techniques to inform recommendations and decisions ? s closely across different functions of the product team (engineering function, architecture function, business function, sales functions, etc.) to identify and incubate business cases    ? Ph.D. in Computer Science, Statistics, Mathematics, or another related field ? Strong experience developing computer vision algorithms/models (image registration, thresholding, camera calibration, keypoint extraction, etc.) with state of the art deep learning frames ? Mastery of a wide variety of programming languages (Python, C++, etc.) and frames (TensorFlow, Keras, Caffe, Torch, etc.), demonstrating strong  in the development, articulation, and implementation of coding practices for the team ? Demonstd experience ing with large, complex datasets using big data  and script language ? Experience on cloud platforms such as AWS, AZURE, etc. ? Familiarity with version control systems ? Ability to turn research into industrial production ? Experience on 3D modeling from 2D images is a plus"
Data Engineer,"[-0.47978604 -1.2986784  -1.0250297   0.7385031   0.60398173 -0.20681185
  0.14689298 -0.5935129  -0.348453    0.03279087  0.4689378   0.4179156
  0.16876271 -0.03733293 -0.12643647  0.6881335   0.12492421  0.30343947
  0.7445184  -0.5572534   0.09391601  0.0793516  -0.0291315  -0.5423056
  0.3120997  -0.86905485 -0.38112202  0.06951582 -0.91909504 -0.81703943
  0.38118488 -0.5549641   0.08591113 -0.7514229  -0.08376365 -0.22102314
  0.3534284   0.60179335 -0.40913737  0.10015361  0.30112123 -0.8210794
 -0.19501124 -0.2497755   0.612524    0.7752502   0.450204   -0.5993254
  0.57073945  0.12586744]","  Data Engineer   Woonsocket, RI   6+ Months          Top tier consultant firm experience     5 years of building products and architecting solutions.     Experience advising clients on Data Modernization initiatives. Ability to deal with structured, semi-structured, unstructured and streaming data.     Ability to lead proofs-of-concept and then effectively transition and scale those concepts into production at scale through, engineering, deployment, and commercialization.     Serve as an expert; envision and integ emerging data , anticipate new trends to solve complex business and technical problems.     Experience in sales, pre-sales functions, leading pursuits, proposal development, and statement of s.     Ability to  in the United States without visa sponsorship now or in the future   Technical        Experienced ing with multiple top tier customer scenarios and loads to meet customer needs for performance, scalability, latency, & reliability.     Experienced in Azure Cloud Platform. (HDI, CLI, Storage (ADLS, Blob, Tables, etc..), CosmosDB, SQL Data Warehouse, and Azure Functions).     Experience designing, developing, optimizing and troubleshooting complex data-intensive applications using Spark, HDFS, Kafka, MapReduce, MongoDB, and other big data-related .     Comfortable designing and implementing data warehouse and pipelines?such as ETL, data integration, and streaming?to support teams focused in Analytics.     Must know pySpark, Python and SQL; comfortable with Java and/or Scala.     Knowledge about DevOps like Azure DevOps methodologies and best practices.   "
Data Scientist,"[ 0.75782835 -0.21393465 -0.12347377 -0.2220898   0.6528775   0.11583143
  0.5840623  -0.7355675  -0.3547788   0.03272918 -0.8558549   0.6132437
  0.0460616   0.92936796  0.2248547  -0.4549175   0.6351642  -1.1061546
 -0.4426761  -0.70238477  0.63060945 -0.02318714  1.4156342  -0.79402673
  0.16603336  0.64982325  0.2878012  -0.2587894  -0.6083323   0.6874204
  0.67273253 -0.09480074  1.2327875   1.0910516  -0.21096022  0.21956599
  0.04474089  0.0136968  -0.739779   -0.02242019 -0.6247282   0.179585
 -1.296804   -0.4742162  -0.6761468   0.3287991   0.21603604  0.14347756
  0.7076966  -1.10982   ]","PhD or MS with 3 years post MS experience Computer Science, Engineering Electrical Engineering Physics Mathematics Statistics or an analytics discipline Proficient in Python or CJava     Proficiency with image processing and or computer vision algorithms remote sensing     Proficiency in Machine Learning algorithms and concepts Ensembles Deep Learning SVM etc     Experience analyzing and presenting complex data and proven problem solving abilities     Strong publication record in leading scientific journals Strong organizational interpersonal and written communication  Experience ing with agricultural biological scientific data is highly desired     Drive for translating business problems into research initiatives that deliver business value Creativity in defining challenging exploratory   "
Data Scientist,"[ 0.3748793  -0.95685655 -0.7933894  -0.3757263   1.1764364   0.11754889
  0.59172577  0.68987334  0.24023002  0.1116069  -0.09933045 -0.5543923
  0.36713672 -0.4345886   1.5125915   0.9249105   0.49552253  0.10545207
 -0.30266923 -0.9909296   0.16545328  0.37711835 -1.4374251  -0.8619096
  0.1877021   1.1079125   0.58668745  0.68945915  0.31707132 -1.0206726
  0.33992118  0.35139176  2.5010679  -0.1660046  -2.333579    0.08633935
  0.12339512  0.18390042  0.45165643 -0.12078413 -0.38844934 -0.7098547
 -0.530064   -0.71490234 -0.54344255 -0.47818783  1.5539304  -1.4847364
 -1.0015748  -1.0368811 ]","    ? Bachelor degree in Computer Science (or another  related degree) and 2 years of experience OR 3 years of experience in front-end development ? Must have ing experience with Developing programs running on Java/Python. ? Must have experience with strong UNIX shell scripting ? Must have experience with one of the IDE  such as Eclipse. ? Must have experience with SDLC Methodology (Agile / Scrum / Iterative Development). ? Must have experience with Problem solving /analytical thinking ?  experience with Spark and Scala/Python. ?  experience with NoSql Databases like HBASE, Mongo or Cassandra. ?  experience with developing Pig scripts/Hive QL, SQOOP ?  experience with developing MapReduce programs running on the Hadoop cluster using Java/Python. ?  experience using Talend with Hadoop . ?  experience with cloud computing infrastructure (e.g. Amazon Web Services EC2) and considerations for scalable, distributed systems ?  experience ing in an Agile Matrix environment like SDLC Methodology (Agile / Scrum / Iterative Development). ?  experience with Jenkins and Jira  ? Ability to  both independently and as part of a team. ? Ability to solve problems and have analytical thinking capabilities ? Excellent communication   "
Data Scientist,"[ 1.2228765  -1.0821911   0.26273805 -1.0648273   0.8162907  -0.26308793
 -0.03536758 -0.34932756  1.1109968   1.0902388   0.6081904  -0.06675465
  0.2186804   0.25862393  0.02609103  0.2655252  -0.89894867 -0.28365394
  0.6175769  -0.787515   -0.09472187 -0.7340257   0.43793774 -0.7237679
  1.473561    0.02679966  1.1736076  -0.27377886 -1.107346   -0.04818537
  1.931684   -0.734381    2.2242796  -0.3188461  -0.05165758 -1.0945516
 -0.37513238  1.9544777  -0.7277616  -0.8136719   0.84612584 -0.6338646
 -0.3790178   0.35765412 -0.30737498 -0.7048962   0.71925837 -1.4246758
 -0.31015456  0.16490468]"," ? Data Scientist    Irvine, CA 17951  ? 1 year (possible conversion)  SAS enterprise miner, Predictive modelling, R, Python Using tableau as excel spread sheet. AI or Machine learning (Plus to have) Education  BS or MS     The Data Scientist will be conducting statistical, predictive and descriptive analytics in partnership with our marketing, digital and product teams to turn data into critical information and knowledge that can be used to make sound business decisions. This individual must function in a fast-paced environment, be adaptable to the changing processes and  related to the business intelligence and analytical space.   ? Leveraging large data sets to conduct end-to end analytics that will include data gathering,  specifications, processing, analytics, ongoing deliverables, and presentations; ? Incorpo machine learning, statistical modeling, visualization and analytics  and data sources into the development of processes and techniques to use data effectively and efficiently. ? Conduct exploratory data mining and analysis to understand customer engagement and retention ? Develop predictive scoring models including linear/logistic regressions, decision trees, neural net, clustering, etc. preferably in SAS Enterprise Miner ? Develop and collabo to build artificial intelligence /machine learning-based next best action recommendation systems ? Ability to leverage machine learning, clustering, natural language processing techniques to mine through unstructured data to uncover insights, topic detection, keyword extraction, and sentiment analysis using R and/or Python ? Ability to summarize and present findings in clean, easy to understand data visualizations and presentations  ? Excellent communication and presentation  (written and verbal) ? Independent, self-motivated, organized, able to multi-task in time-sensitive environments, and skilled in facilitation and collaboration ? Experience with Tableau ? Strong data querying  using SQL, hands-on data analysis experience using SAS and Python or R ? Strong predictive data modeling experience is  with proven application in ing Decision Trees, Regression analysis, and other data mining techniques preferably in SAS Enterprise Miner     ? Bachelor?s Degree or higher in a quantitative field such as Financial Mathematics, Business Analytics, Financial Engineering, Statistics, Economics, or Data Science  ? Financial Services experience  ? Expertise ing with large data sets, data mining, and machine learning  ? Experience in various artificial intelligence applications"
Data Scientist,"[-0.30745867 -0.4459956  -0.19629629 -0.733064    0.7933251  -0.13591737
  0.56111705 -0.22265048 -0.7829693  -1.5053709  -0.41710368  0.45455074
  0.715836    2.2239425  -1.3608677  -1.0944      0.9568468  -1.9687486
  0.3838175  -0.2423374   1.9911549  -0.5052711   1.0643743   1.173029
  1.0308081  -0.6107693  -0.02442742 -0.12054721 -1.0484965  -0.66826093
 -0.2703539  -0.82441366  0.54609716  0.86477846 -0.21998045 -0.6838273
  0.24706192  0.02792121  0.8240769  -0.7133914   0.2550926   0.24961919
 -1.0128438   0.04999419 -0.4568194   0.75783056  0.49471793 -0.91064197
 -0.08276969  1.4543444 ]","Research Computing SME - 19-03563          Somerville, MA      Type  Contract       5+ Months     General Summary/Overview Statement      Our client HealthCare is embarking on a new Enterprise Data and Digital Health (EDDH) initiative focused on establishing best-in-class data analytics, digital competencies and  to deliver superior care and experience for our patients.     The organization is dedicated to creating a cutting-edge data science environment that supports patient discovery, cohort formation and patient disease stratification.     The Research Information Science & Computing (RISC) group of *** HealthCare plays a critical  in ensuring the success of this initiative. Our focus is on accelerating the digital transformation of healthcare by redefining how data is used to improve patient outcomes.     To better enable researchers and clinicians, we are building , repositories, and new data flows optimized for data science, machine learning and artificial intelligence.     Our group is looking for an experienced, high performing, hands-on Big Data/Cloud Engineer to be a key member of this fast-paced team within the Big Data Commons project, as well as participating in other project activities, including migrating different functions to a cloud-based system.     This  will be responsible for creating, modifying and expanding our data analytics to include Big Data and Cloud . You will help define and build the next iterations of features for enterprise-wide data integration and data science.     The ideal candi should have prior experience in the implementation of a modern Big Data architecture and the design and implementation of analytical data platforms. S/he should have deep technical and analytical  with a rich knowledge of accepted best practices around data flow, data transformation and data ingestion.     To quickly get up to speed, a solid understanding of metadata catalogs, data governance, data science and data mining in Big Data  in Cloud, hybrid and/or on-premise environments is essential.    Principal Duties And       Under the guidance of Sr Manager  with cross functional technical and analytical teams to understand current and future enterprise-wide Big Data analytics goals spanning dispa platforms     Participate hands-on in the  to design, develop and deploy advanced systems for the collection, aggregation and analysis of those data in alignment with business s     Build serverless data ingestion and refresh pipelines in terabyte scale using MS Azure cloud services      closely with the Big Data Architect to design nets, systems, and storage environment that effectively reflect business needs, security , and service level      Help with Big Data and Cloud based  assessments, stgies, and roadmaps in several technical domains and act as a subject matter expert on Big Data     Collabo with data engineers to drive and build innovative solutions, defining best practices and methodologies     Participate in configuring the architecture and advise on solutions configured for efficient performance     Assist data scientists, SMEs, Data Engineers and Big Data Cloud Architects in deploying and testing AI and machine learning algorithms     Participate in cross-team code re among data engineering personnel     Stay informed on initiatives across the industry and the enterprise to help leadership effectively prioritize current and future Big Data needs     Exhibit willingness and participate actively in agile practices by collaborating with the Senior Manager and team members     Provide adequate documentation to effectively communicate architectural designs and data inputs, outputs and flows for technical and nontechnical audiences     s closely with the RISC leadership, RISC Technical, other RISC managers and IT colleagues to support corpo/functional business and information needs     Help to establish processes to ensure HIPPA and institutional compliance in all aspects of the           Bachelor?s/Master?s degree in computer science or a healthcare related informatics field     5+ years of building and maintaining sophisticated enterprise software systems and/or large analytical platforms through multiple release cycles and upgrades     Experience in a wide variety of traditional databases and Big Data , developing stgies for data flow, data obfuscation, archiving and other aspects of data warehouses or data lakes     3+ years of experience ing in a public and/or private cloud environments such as Azure, AWS, or Google Cloud with knowledge of how to integ with processing and messaging stacks such as Databricks, Spark, Azure EventHub, and/or Kafka.     Knowledge of Big Data & Data Engineering, with deep, hands-on technical experience in , libraries, and frames using traditional database enterprise-class RDBMS , preferably MS SQL Server, and Big Data NoSQL like , such as CosmosDB, Dynamo, ArangoDB, HDFS and Hive, and/or Hbase. Experience includes creating data integration systems spanning a variety of modern architectural paradigms, including event based, streaming, and near real time design patterns      experience ing with data/Big Data in HealthCare, including genomics, imaging and HER     Successful track record of delivering results on scope, on time, on budget     Knowledge of HIPPA, privacy regulations regarding patient data security and/or research related practices is a plus    /Abilities/Competencies       Exceptional problem-solving      Excellent oral and written communication      Able to  in one or more cloud computing environments     Able to  in a highly-collaborative team and provide valuable insight     Able to document  and complex data architectures     Able to inform the project management process with thoughtful and accu timeframe estimates     Able  efficiently under pressure and to manage to tight deadlines or shifting priorities     Enjoy being challenged and solving complex problems     Self-motivated, independent and possesses the ability to learn quickly     Familiarity with medical terminology and healthcare concepts is a significant plus "
Software Engineer,"[-0.25690454 -0.59091395 -0.5043876   0.28056657  0.54908913  0.20692228
  0.65160656 -1.1239045   0.23332563  0.7096675   0.2994049   0.48214102
 -0.1062376   0.19518796 -0.3556337   0.37635782  0.37529552  0.25337273
 -0.6443273  -0.24977103 -0.00464798 -0.7183967   0.7574448  -0.07543867
  0.64654183  0.28014222  0.28956595  0.16675732  0.22254008 -0.2802872
 -0.21172918  0.37025195  0.2588425   0.66974825 -0.91582674  0.21847062
 -0.5873889  -0.09870379 -0.10028157  0.45260805 -0.01404274  0.02636203
  0.17317937 -0.12461522  0.13071552 -0.5935922   0.39924672 -0.93023974
  1.25897    -0.569607  ]"," Ref.                           19-62193                     Software Engineer - Senior (CPE)                 Los Angeles, CA Contract           6 Months Hire Type                       W2 only   Additional  Details  Our group develops software for the PlayStation Net. This net provides online services for the PS4, Web, PS3, PSP, Vita, Tablets, mobile phones, PC, Bravia TVs and more. We build large internal enterprise applications which integ and support services such as Movie/TV Show streaming, PSN gaming commerce and much more. Our environment is fast, agile and we use some of the latest  out there. The Content and Customer Service Data Engineering team is looking for creative, curious, energetic professionals who are passionate about solving complex problems with data in creative and innovative ways. Our mission is to deliver timely, scalable and high quality data solutions and be a force multiplier by unlocking the full potential behind our data.     Collabo with product and engineering teams in multiple  building forward thinking, innovative data solutions that up-level our features and get results in a data driven way. Build highly scalable resilient data pipelines and models which produce high quality datasets. Deliver visualizations that distill clear, actionable insights from large, complex datasets. Improve our tooling by building generic data features such as data quality and anomaly detection and drive overall improvements in our data infrastructure. Drive ideas and  through deep understanding of our data and how it applies in the broader sense of the organization.          4+ years of industry experience building highly scalable data pipelines (batch and/or streaming) utilizing Spark, Hive, Presto or other open source frames architecture.     Python and shell scripting experience for automation and data manipulation.     Prior experience utilizing dashboarding  such as Domo, Tableau, Superset or similar.     Experience translating ambiguous business needs to highly scalable data models and datasets.     Background in software engineering - able to write elegant, scalable and maintainable code.     Strong SQL  Desired       Experience with Airflow, Superset or similar open source .     Previous experience with AWS or similar cloud environment.     Experience preparing large, complex datasets for Machine Learning pipelines a plus.     Prior experience ing in an Agile environment.     Gamer or experience in the gaming industry a plus."
