jobOrResumeDescription,role
": Artificial Intelligence / Machine Learning Developer
 
: Irving TX

Terms: Contract

 Details: 
 
 :

    Bachelor's degree or 7-10 or more years of relevant  experience.
    7+ years of server app development (design/develop/deploy).
    3+ years of Python 3.x, experience in ML algorithms/data analytics.
    5+ years of advanced SQL development (ER modeling, SQL scripts, stored procedures, functions, s) with RDBMS such as PostgreSQL/MS SQL Server.
    3+ years on AWS S3, EC2, Serverless computing (Lambda).
    3+ years of experience/familiarity with DevOps using Stash/Jenkins/Chef and Puppet.
    Excellent communication  in interfacing with different cross-functional teams.

:

    5+ years of experience in designing, building applications using .NET platform using C#, .NET Core, ORM, SQL, MS SQL Server, Visual Studio.
    1+ years' experience in developing containerized Docker .net core apps.",Developer
" : Data Scientist/Architect
: 6+ months + High possibility of extension
: New York, NY 10036
: $101/hr W2
 
:

    Develops cutting-edge algorithms and solutions for an industry disrupting product in the insurance industry
    Plays a critical  in guiding the data science team on effectively developing models
    Stays up-to- on current trends and state-of-the-art in the field of deep learning and computer vision and educates junior data scientist
    Leverages research and applies state-of-the-art deep learning techniques to inform recommendations and decisions
    s closely across different functions of the product team (engineering function, architecture function, business function, sales functions, etc.) to identify and incubate business cases

 
 

    Ph.D. in Computer Science, Statistics, Mathematics, or other related field
    Strong experience developing computer vision algorithms/models (image registration, thresholding, camera calibration, keypoint extraction, etc.) with state of the art deep learning frames
    Mastery of a wide variety of programming languages (Python, C++, etc.) and frames (TensorFlow, Keras, Caffe, Torch, etc.), demonstrating strong  in the development, articulation and implementation of coding practices for the team
    Demonstd experience ing with large, complex datasets using big data  and script language
    Experience on cloud platform such as AWS, AZURE, etc.
    Familiarity with version control systems
    Ability to turn research into industrial production
    Experience on 3D modeling from 2D images is a plus",Data Scientist
" : Data Analyst
: Davidson, NC
: 04+ Months
 
 :
  and Experience:

    You are an expert in one or more business processes and  practices and are accountable for translating a business case into a detailed technical design.
    Alternatively, you are responsible for operational and technical issues and translate technical blueprints into  and specifications.
    You may also be responsible for integration testing and user acceptance testing.
    You act as a stream lead, guiding team members by experience.
    You are seen as active member within  communities.

 
Qualification: 6-8 years of experience (2 years minimum relevant experience) Bachelor?s Degree.
Certification: SE level 1 and  level 2.
Must have experience in Package Configuration.
Should be proficient in Business Analysis, Business Knowledge, Testing, Architecture Knowledge, Technical Solution Design and Vendor Management.
 
:

    The Data Scientist will  on a small team to  Reinforced Learning approach to Control Systems used in Compressed Air systems.
    Client is planning to use a toolkit called Reinforced Learning Toolkit from Maths which was recently launched, along with Matlab and Simulink toolkits.
    The Data Scientist will build data models, analyze data and  alongside system experts and project manager to deliver a proof of concept which uses AI to solve control problems and make improvements.

 
:

    Data Science background in Machine Learning, Artificial Intelligence (AI), and/or Neural Nets
    Maths Matlab and Simulink experience
    Maths Reinforced Learning Toolkit highly  (this is a new toolkit)
    Reinforced Learning expertise highly 
    Able to build Data Models
    Control System domain experience 
",Data Analyst
" : Big Data Architect or Data Scientist
: New York, NY 
: 6 Months Contract
 
 :
? Develops cutting-edge algorithms and solutions for an industry-disrupting product in the insurance industry
? Plays a critical  in guiding the data science team on effectively developing models
? Stays up-to- on current trends and state-of-the-art in the field of deep learning and computer vision and educates junior data scientist
? Leverages research and applies state-of-the-art deep learning techniques to inform recommendations and decisions
? s closely across different functions of the product team (engineering function, architecture function, business function, sales functions, etc.) to identify and incubate business cases

 
? Ph.D. in Computer Science, Statistics, Mathematics, or another related field
? Strong experience developing computer vision algorithms/models (image registration, thresholding, camera calibration, keypoint extraction, etc.) with state of the art deep learning frames
? Mastery of a wide variety of programming languages (Python, C++, etc.) and frames (TensorFlow, Keras, Caffe, Torch, etc.), demonstrating strong  in the development, articulation, and implementation of coding practices for the team
? Demonstd experience ing with large, complex datasets using big data  and script language
? Experience on cloud platforms such as AWS, AZURE, etc.
? Familiarity with version control systems
? Ability to turn research into industrial production
? Experience on 3D modeling from 2D images is a plus",Data Scientist
": Data Engineer
: Woonsocket, RI
: 6+ Months

 :

    Top tier consultant firm experience
    5 years of building products and architecting solutions.
    Experience advising clients on Data Modernization initiatives. Ability to deal with structured, semi-structured, unstructured and streaming data.
    Ability to lead proofs-of-concept and then effectively transition and scale those concepts into production at scale through, engineering, deployment, and commercialization.
    Serve as an expert; envision and integ emerging data , anticipate new trends to solve complex business and technical problems.
    Experience in sales, pre-sales functions, leading pursuits, proposal development, and statement of s.
    Ability to  in the United States without visa sponsorship now or in the future


Technical :

    Experienced ing with multiple top tier customer scenarios and loads to meet customer needs for performance, scalability, latency, & reliability.
    Experienced in Azure Cloud Platform. (HDI, CLI, Storage (ADLS, Blob, Tables, etc..), CosmosDB, SQL Data Warehouse, and Azure Functions).
    Experience designing, developing, optimizing and troubleshooting complex data-intensive applications using Spark, HDFS, Kafka, MapReduce, MongoDB, and other big data-related .
    Comfortable designing and implementing data warehouse and pipelines?such as ETL, data integration, and streaming?to support teams focused in Analytics.
    Must know pySpark, Python and SQL; comfortable with Java and/or Scala.
    Knowledge about DevOps like Azure DevOps methodologies and best practices. 

",Data Engineer
"PhD or MS with 3 years post MS experience Computer Science, Engineering Electrical Engineering Physics Mathematics Statistics or an analytics discipline Proficient in Python or CJava
    Proficiency with image processing and or computer vision algorithms remote sensing
    Proficiency in Machine Learning algorithms and concepts Ensembles Deep Learning SVM etc
    Experience analyzing and presenting complex data and proven problem solving abilities
    Strong publication record in leading scientific journals Strong organizational interpersonal and written communication  Experience ing with agricultural biological scientific data is highly desired
    Drive for translating business problems into research initiatives that deliver business value Creativity in defining challenging exploratory 

",Data Scientist
"  :
? Bachelor degree in Computer Science (or another  related degree) and 2 years of experience OR 3 years of experience in front-end development
? Must have ing experience with Developing programs running on Java/Python.
? Must have experience with strong UNIX shell scripting
? Must have experience with one of the IDE  such as Eclipse.
? Must have experience with SDLC Methodology (Agile / Scrum / Iterative Development).
? Must have experience with Problem solving /analytical thinking
?  experience with Spark and Scala/Python.
?  experience with NoSql Databases like HBASE, Mongo or Cassandra.
?  experience with developing Pig scripts/Hive QL, SQOOP
?  experience with developing MapReduce programs running on the Hadoop cluster using Java/Python.
?  experience using Talend with Hadoop .
?  experience with cloud computing infrastructure (e.g. Amazon Web Services EC2) and considerations for scalable, distributed systems
?  experience ing in an Agile Matrix environment like SDLC Methodology (Agile / Scrum / Iterative Development).
?  experience with Jenkins and Jira 
? Ability to  both independently and as part of a team.
? Ability to solve problems and have analytical thinking capabilities
? Excellent communication 
 ",Data Scientist
" ? Data Scientist
:  Irvine, CA 17951
 ? 1 year (possible conversion)

SAS enterprise miner, Predictive modelling, R, Python
Using tableau as excel spread sheet.
AI or Machine learning (Plus to have)
Education: BS or MS
 
 
The Data Scientist will be conducting statistical, predictive and descriptive analytics in partnership with our marketing, digital and product teams to turn data into critical information and knowledge that can be used to make sound business decisions. This individual must function in a fast-paced environment, be adaptable to the changing processes and  related to the business intelligence and analytical space.
 
? Leveraging large data sets to conduct end-to end analytics that will include data gathering,  specifications, processing, analytics, ongoing deliverables, and presentations;
? Incorpo machine learning, statistical modeling, visualization and analytics  and data sources into the development of processes and techniques to use data effectively and efficiently.
? Conduct exploratory data mining and analysis to understand customer engagement and retention
? Develop predictive scoring models including linear/logistic regressions, decision trees, neural net, clustering, etc. preferably in SAS Enterprise Miner
? Develop and collabo to build artificial intelligence /machine learning-based next best action recommendation systems
? Ability to leverage machine learning, clustering, natural language processing techniques to mine through unstructured data to uncover insights, topic detection, keyword extraction, and sentiment analysis using R and/or Python
? Ability to summarize and present findings in clean, easy to understand data visualizations and presentations 
? Excellent communication and presentation  (written and verbal)
? Independent, self-motivated, organized, able to multi-task in time-sensitive environments, and skilled in facilitation and collaboration
? Experience with Tableau
? Strong data querying  using SQL, hands-on data analysis experience using SAS and Python or R
? Strong predictive data modeling experience is  with proven application in ing Decision Trees, Regression analysis, and other data mining techniques preferably in SAS Enterprise Miner
 
:
? Bachelor?s Degree or higher in a quantitative field such as Financial Mathematics, Business Analytics, Financial Engineering, Statistics, Economics, or Data Science 
? Financial Services experience 
? Expertise ing with large data sets, data mining, and machine learning 
? Experience in various artificial intelligence applications",Data Scientist
"Research Computing SME - 19-03563
 

    : Somerville, MA
     Type: Contract
    : 5+ Months


 
General Summary/Overview Statement

    Our client HealthCare is embarking on a new Enterprise Data and Digital Health (EDDH) initiative focused on establishing best-in-class data analytics, digital competencies and  to deliver superior care and experience for our patients.
    The organization is dedicated to creating a cutting-edge data science environment that supports patient discovery, cohort formation and patient disease stratification.
    The Research Information Science & Computing (RISC) group of *** HealthCare plays a critical  in ensuring the success of this initiative. Our focus is on accelerating the digital transformation of healthcare by redefining how data is used to improve patient outcomes.
    To better enable researchers and clinicians, we are building , repositories, and new data flows optimized for data science, machine learning and artificial intelligence.
    Our group is looking for an experienced, high performing, hands-on Big Data/Cloud Engineer to be a key member of this fast-paced team within the Big Data Commons project, as well as participating in other project activities, including migrating different functions to a cloud-based system.
    This  will be responsible for creating, modifying and expanding our data analytics to include Big Data and Cloud . You will help define and build the next iterations of features for enterprise-wide data integration and data science.
    The ideal candi should have prior experience in the implementation of a modern Big Data architecture and the design and implementation of analytical data platforms. S/he should have deep technical and analytical  with a rich knowledge of accepted best practices around data flow, data transformation and data ingestion.
    To quickly get up to speed, a solid understanding of metadata catalogs, data governance, data science and data mining in Big Data  in Cloud, hybrid and/or on-premise environments is essential.

 
Principal Duties And 

    Under the guidance of Sr Manager  with cross functional technical and analytical teams to understand current and future enterprise-wide Big Data analytics goals spanning dispa platforms
    Participate hands-on in the  to design, develop and deploy advanced systems for the collection, aggregation and analysis of those data in alignment with business s
    Build serverless data ingestion and refresh pipelines in terabyte scale using MS Azure cloud services
     closely with the Big Data Architect to design nets, systems, and storage environment that effectively reflect business needs, security , and service level 
    Help with Big Data and Cloud based  assessments, stgies, and roadmaps in several technical domains and act as a subject matter expert on Big Data
    Collabo with data engineers to drive and build innovative solutions, defining best practices and methodologies
    Participate in configuring the architecture and advise on solutions configured for efficient performance
    Assist data scientists, SMEs, Data Engineers and Big Data Cloud Architects in deploying and testing AI and machine learning algorithms
    Participate in cross-team code re among data engineering personnel
    Stay informed on initiatives across the industry and the enterprise to help leadership effectively prioritize current and future Big Data needs
    Exhibit willingness and participate actively in agile practices by collaborating with the Senior Manager and team members
    Provide adequate documentation to effectively communicate architectural designs and data inputs, outputs and flows for technical and nontechnical audiences
    s closely with the RISC leadership, RISC Technical, other RISC managers and IT colleagues to support corpo/functional business and information needs
    Help to establish processes to ensure HIPPA and institutional compliance in all aspects of the 

 


    Bachelor?s/Master?s degree in computer science or a healthcare related informatics field
    5+ years of building and maintaining sophisticated enterprise software systems and/or large analytical platforms through multiple release cycles and upgrades
    Experience in a wide variety of traditional databases and Big Data , developing stgies for data flow, data obfuscation, archiving and other aspects of data warehouses or data lakes
    3+ years of experience ing in a public and/or private cloud environments such as Azure, AWS, or Google Cloud with knowledge of how to integ with processing and messaging stacks such as Databricks, Spark, Azure EventHub, and/or Kafka.
    Knowledge of Big Data & Data Engineering, with deep, hands-on technical experience in , libraries, and frames using traditional database enterprise-class RDBMS , preferably MS SQL Server, and Big Data NoSQL like , such as CosmosDB, Dynamo, ArangoDB, HDFS and Hive, and/or Hbase. Experience includes creating data integration systems spanning a variety of modern architectural paradigms, including event based, streaming, and near real time design patterns
     experience ing with data/Big Data in HealthCare, including genomics, imaging and HER
    Successful track record of delivering results on scope, on time, on budget
    Knowledge of HIPPA, privacy regulations regarding patient data security and/or research related practices is a plus

 
/Abilities/Competencies 

    Exceptional problem-solving 
    Excellent oral and written communication 
    Able to  in one or more cloud computing environments
    Able to  in a highly-collaborative team and provide valuable insight
    Able to document  and complex data architectures
    Able to inform the project management process with thoughtful and accu timeframe estimates
    Able  efficiently under pressure and to manage to tight deadlines or shifting priorities
    Enjoy being challenged and solving complex problems
    Self-motivated, independent and possesses the ability to learn quickly
    Familiarity with medical terminology and healthcare concepts is a significant plus
",Data Scientist
" Ref.                         : 19-62193
                  : Software Engineer - Senior (CPE)
              : Los Angeles, CA
Contract         : 6 Months
Hire Type                     : W2 only
 
Additional  Details:
Our group develops software for the PlayStation Net. This net provides online services for the PS4, Web, PS3, PSP, Vita, Tablets, mobile phones, PC, Bravia TVs and more. We build large internal enterprise applications which integ and support services such as Movie/TV Show streaming, PSN gaming commerce and much more. Our environment is fast, agile and we use some of the latest  out there. The Content and Customer Service Data Engineering team is looking for creative, curious, energetic professionals who are passionate about solving complex problems with data in creative and innovative ways. Our mission is to deliver timely, scalable and high quality data solutions and be a force multiplier by unlocking the full potential behind our data.
 
: Collabo with product and engineering teams in multiple  building forward thinking, innovative data solutions that up-level our features and get results in a data driven way. Build highly scalable resilient data pipelines and models which produce high quality datasets. Deliver visualizations that distill clear, actionable insights from large, complex datasets. Improve our tooling by building generic data features such as data quality and anomaly detection and drive overall improvements in our data infrastructure. Drive ideas and  through deep understanding of our data and how it applies in the broader sense of the organization.
 
:

    4+ years of industry experience building highly scalable data pipelines (batch and/or streaming) utilizing Spark, Hive, Presto or other open source frames architecture.
    Python and shell scripting experience for automation and data manipulation.
    Prior experience utilizing dashboarding  such as Domo, Tableau, Superset or similar.
    Experience translating ambiguous business needs to highly scalable data models and datasets.
    Background in software engineering - able to write elegant, scalable and maintainable code.
    Strong SQL  Desired:

    Experience with Airflow, Superset or similar open source .
    Previous experience with AWS or similar cloud environment.
    Experience preparing large, complex datasets for Machine Learning pipelines a plus.
    Prior experience ing in an Agile environment.
    Gamer or experience in the gaming industry a plus.",Software Engineer
